# epsilon_xx, epsilon_yy, epsilon_xy
   0.00000,  -0.00000,  -0.00000
   0.00111,   0.00075,  -0.00130
   0.00221,   0.00151,  -0.00259
   0.00331,   0.00226,  -0.00388
   0.00440,   0.00301,  -0.00516
   0.00548,   0.00376,  -0.00644
   0.00656,   0.00451,  -0.00771
   0.00764,   0.00526,  -0.00898
   0.00871,   0.00601,  -0.01023
   0.00978,   0.00676,  -0.01149
   0.01084,   0.00751,  -0.01274
   0.01189,   0.00825,  -0.01398
   0.01294,   0.00900,  -0.01521
   0.01399,   0.00975,  -0.01644
   0.01503,   0.01049,  -0.01767
   0.01606,   0.01124,  -0.01889
   0.01709,   0.01198,  -0.02010
   0.01812,   0.01273,  -0.02130
   0.01914,   0.01347,  -0.02251
   0.02015,   0.01422,  -0.02370
   0.02116,   0.01496,  -0.02489
   0.02216,   0.01571,  -0.02607
   0.02316,   0.01645,  -0.02725
   0.02415,   0.01720,  -0.02842
   0.02514,   0.01794,  -0.02958
   0.02612,   0.01868,  -0.03074
   0.02710,   0.01943,  -0.03189
   0.02807,   0.02017,  -0.03304
   0.02904,   0.02092,  -0.03418
   0.03000,   0.02166,  -0.03531
   0.03095,   0.02241,  -0.03644
   0.03190,   0.02315,  -0.03756
   0.03285,   0.02390,  -0.03867
   0.03379,   0.02464,  -0.03978
   0.03472,   0.02539,  -0.04088
   0.03565,   0.02614,  -0.04198
   0.03657,   0.02689,  -0.04307
   0.03749,   0.02763,  -0.04415
   0.03841,   0.02838,  -0.04523
   0.03931,   0.02913,  -0.04630
   0.04021,   0.02988,  -0.04737
   0.04111,   0.03063,  -0.04843
   0.04200,   0.03138,  -0.04948
   0.04289,   0.03213,  -0.05052
   0.04377,   0.03288,  -0.05156
   0.04464,   0.03364,  -0.05260
   0.04551,   0.03439,  -0.05362
   0.04637,   0.03514,  -0.05464
   0.04723,   0.03590,  -0.05566
   0.04808,   0.03666,  -0.05667
   0.04893,   0.03741,  -0.05767
   0.04977,   0.03817,  -0.05866
   0.05061,   0.03893,  -0.05965
   0.05144,   0.03969,  -0.06063
   0.05226,   0.04045,  -0.06161
   0.05308,   0.04121,  -0.06258
   0.05390,   0.04198,  -0.06354
   0.05471,   0.04274,  -0.06450
   0.05551,   0.04351,  -0.06545
   0.05631,   0.04427,  -0.06639
   0.05710,   0.04504,  -0.06733
   0.05788,   0.04581,  -0.06826
   0.05867,   0.04658,  -0.06918
   0.05944,   0.04735,  -0.07010
   0.06021,   0.04813,  -0.07101
   0.06097,   0.04890,  -0.07192
   0.06173,   0.04968,  -0.07282
   0.06249,   0.05045,  -0.07371
   0.06323,   0.05123,  -0.07460
   0.06397,   0.05201,  -0.07548
   0.06471,   0.05280,  -0.07635
   0.06544,   0.05358,  -0.07721
   0.06617,   0.05436,  -0.07808
   0.06689,   0.05515,  -0.07893
   0.06760,   0.05594,  -0.07978
   0.06831,   0.05673,  -0.08062
   0.06901,   0.05752,  -0.08145
