# epsilon_xx, epsilon_yy, epsilon_xy
   0.00000,   0.00000,   0.00000
  -0.00048,  -0.00032,   0.00019
  -0.00096,  -0.00065,   0.00038
  -0.00143,  -0.00097,   0.00056
  -0.00189,  -0.00130,   0.00074
  -0.00234,  -0.00162,   0.00091
  -0.00278,  -0.00194,   0.00108
  -0.00322,  -0.00227,   0.00124
  -0.00365,  -0.00259,   0.00140
  -0.00407,  -0.00291,   0.00156
  -0.00449,  -0.00324,   0.00171
  -0.00489,  -0.00356,   0.00186
  -0.00529,  -0.00388,   0.00200
  -0.00569,  -0.00421,   0.00214
  -0.00607,  -0.00453,   0.00228
  -0.00645,  -0.00485,   0.00241
  -0.00682,  -0.00517,   0.00254
  -0.00719,  -0.00550,   0.00266
  -0.00754,  -0.00582,   0.00279
  -0.00789,  -0.00614,   0.00290
  -0.00824,  -0.00646,   0.00302
  -0.00857,  -0.00679,   0.00313
  -0.00890,  -0.00711,   0.00324
  -0.00923,  -0.00743,   0.00334
  -0.00954,  -0.00775,   0.00344
  -0.00985,  -0.00807,   0.00354
  -0.01016,  -0.00839,   0.00363
  -0.01045,  -0.00871,   0.00373
  -0.01074,  -0.00903,   0.00381
  -0.01103,  -0.00935,   0.00390
  -0.01130,  -0.00967,   0.00398
  -0.01157,  -0.00999,   0.00406
  -0.01184,  -0.01031,   0.00414
  -0.01210,  -0.01063,   0.00421
  -0.01235,  -0.01095,   0.00429
  -0.01260,  -0.01127,   0.00435
  -0.01284,  -0.01158,   0.00442
  -0.01307,  -0.01190,   0.00448
  -0.01330,  -0.01222,   0.00454
  -0.01352,  -0.01254,   0.00460
  -0.01374,  -0.01285,   0.00466
  -0.01395,  -0.01317,   0.00471
  -0.01415,  -0.01348,   0.00477
  -0.01435,  -0.01380,   0.00482
  -0.01454,  -0.01412,   0.00486
  -0.01473,  -0.01443,   0.00491
  -0.01491,  -0.01474,   0.00495
  -0.01509,  -0.01506,   0.00499
  -0.01526,  -0.01537,   0.00503
  -0.01542,  -0.01569,   0.00507
  -0.01558,  -0.01600,   0.00510
  -0.01574,  -0.01631,   0.00514
  -0.01588,  -0.01662,   0.00517
  -0.01603,  -0.01693,   0.00520
  -0.01617,  -0.01724,   0.00523
  -0.01630,  -0.01755,   0.00526
  -0.01643,  -0.01786,   0.00528
  -0.01655,  -0.01817,   0.00531
  -0.01667,  -0.01848,   0.00533
  -0.01678,  -0.01879,   0.00535
  -0.01689,  -0.01910,   0.00537
  -0.01699,  -0.01941,   0.00539
  -0.01709,  -0.01971,   0.00541
  -0.01719,  -0.02002,   0.00543
  -0.01728,  -0.02033,   0.00544
  -0.01736,  -0.02063,   0.00546
  -0.01744,  -0.02094,   0.00547
  -0.01752,  -0.02124,   0.00548
  -0.01759,  -0.02155,   0.00549
  -0.01765,  -0.02185,   0.00551
  -0.01772,  -0.02215,   0.00552
  -0.01777,  -0.02246,   0.00553
  -0.01783,  -0.02276,   0.00553
  -0.01788,  -0.02306,   0.00554
  -0.01792,  -0.02336,   0.00555
  -0.01796,  -0.02366,   0.00556
  -0.01800,  -0.02396,   0.00556
  -0.01803,  -0.02426,   0.00557
  -0.01806,  -0.02455,   0.00558
  -0.01808,  -0.02485,   0.00558
  -0.01810,  -0.02515,   0.00559
  -0.01812,  -0.02545,   0.00559
  -0.01813,  -0.02574,   0.00560
  -0.01814,  -0.02604,   0.00560
  -0.01815,  -0.02633,   0.00561
  -0.01815,  -0.02662,   0.00561
  -0.01815,  -0.02692,   0.00562
  -0.01814,  -0.02721,   0.00562
  -0.01813,  -0.02750,   0.00563
  -0.01812,  -0.02779,   0.00563
  -0.01810,  -0.02808,   0.00563
  -0.01808,  -0.02837,   0.00564
  -0.01806,  -0.02866,   0.00565
  -0.01803,  -0.02895,   0.00565
  -0.01800,  -0.02924,   0.00566
  -0.01797,  -0.02952,   0.00566
  -0.01793,  -0.02981,   0.00567
  -0.01789,  -0.03010,   0.00568
  -0.01785,  -0.03038,   0.00569
  -0.01781,  -0.03066,   0.00570
  -0.01776,  -0.03095,   0.00571
  -0.01771,  -0.03123,   0.00572
  -0.01765,  -0.03151,   0.00573
  -0.01760,  -0.03179,   0.00574
  -0.01754,  -0.03207,   0.00575
  -0.01747,  -0.03235,   0.00576
  -0.01741,  -0.03263,   0.00578
  -0.01734,  -0.03291,   0.00579
  -0.01727,  -0.03318,   0.00581
  -0.01719,  -0.03346,   0.00583
  -0.01712,  -0.03373,   0.00584
  -0.01704,  -0.03401,   0.00586
  -0.01696,  -0.03428,   0.00588
  -0.01688,  -0.03455,   0.00590
  -0.01679,  -0.03482,   0.00593
  -0.01670,  -0.03510,   0.00595
  -0.01661,  -0.03536,   0.00597
  -0.01652,  -0.03563,   0.00600
  -0.01642,  -0.03590,   0.00603
  -0.01632,  -0.03617,   0.00606
  -0.01623,  -0.03643,   0.00609
  -0.01612,  -0.03670,   0.00612
  -0.01602,  -0.03696,   0.00615
  -0.01591,  -0.03723,   0.00619
  -0.01581,  -0.03749,   0.00622
  -0.01570,  -0.03775,   0.00626
  -0.01558,  -0.03801,   0.00630
  -0.01547,  -0.03827,   0.00634
  -0.01536,  -0.03853,   0.00638
  -0.01524,  -0.03879,   0.00643
  -0.01512,  -0.03904,   0.00647
  -0.01500,  -0.03930,   0.00652
  -0.01488,  -0.03955,   0.00657
  -0.01475,  -0.03980,   0.00662
  -0.01463,  -0.04006,   0.00667
  -0.01450,  -0.04031,   0.00673
  -0.01437,  -0.04056,   0.00679
  -0.01424,  -0.04081,   0.00684
  -0.01411,  -0.04105,   0.00690
  -0.01398,  -0.04130,   0.00697
  -0.01384,  -0.04155,   0.00703
  -0.01370,  -0.04179,   0.00710
  -0.01357,  -0.04203,   0.00717
  -0.01343,  -0.04227,   0.00724
  -0.01329,  -0.04252,   0.00731
  -0.01315,  -0.04275,   0.00738
  -0.01301,  -0.04299,   0.00746
  -0.01286,  -0.04323,   0.00754
  -0.01272,  -0.04347,   0.00762
  -0.01257,  -0.04370,   0.00770
  -0.01243,  -0.04393,   0.00779
  -0.01228,  -0.04417,   0.00788
  -0.01213,  -0.04440,   0.00797
  -0.01198,  -0.04463,   0.00806
  -0.01183,  -0.04485,   0.00816
  -0.01168,  -0.04508,   0.00825
  -0.01152,  -0.04531,   0.00835
  -0.01137,  -0.04553,   0.00845
  -0.01122,  -0.04575,   0.00856
  -0.01106,  -0.04598,   0.00866
  -0.01091,  -0.04620,   0.00877
  -0.01075,  -0.04642,   0.00888
  -0.01059,  -0.04663,   0.00900
  -0.01044,  -0.04685,   0.00911
  -0.01028,  -0.04706,   0.00923
  -0.01012,  -0.04728,   0.00935
  -0.00996,  -0.04749,   0.00947
  -0.00980,  -0.04770,   0.00960
  -0.00964,  -0.04791,   0.00973
  -0.00948,  -0.04811,   0.00986
  -0.00932,  -0.04832,   0.00999
  -0.00916,  -0.04852,   0.01013
  -0.00899,  -0.04873,   0.01027
  -0.00883,  -0.04893,   0.01041
  -0.00867,  -0.04913,   0.01055
  -0.00851,  -0.04932,   0.01070
  -0.00834,  -0.04952,   0.01085
  -0.00818,  -0.04972,   0.01100
  -0.00801,  -0.04991,   0.01115
  -0.00785,  -0.05010,   0.01131
  -0.00769,  -0.05029,   0.01147
  -0.00752,  -0.05048,   0.01163
  -0.00736,  -0.05066,   0.01179
  -0.00719,  -0.05085,   0.01196
  -0.00703,  -0.05103,   0.01213
  -0.00686,  -0.05121,   0.01230
  -0.00670,  -0.05139,   0.01247
  -0.00653,  -0.05157,   0.01265
  -0.00637,  -0.05174,   0.01283
  -0.00620,  -0.05192,   0.01301
  -0.00604,  -0.05209,   0.01320
  -0.00587,  -0.05226,   0.01339
  -0.00571,  -0.05243,   0.01358
  -0.00555,  -0.05259,   0.01377
  -0.00538,  -0.05276,   0.01397
  -0.00522,  -0.05292,   0.01416
  -0.00505,  -0.05308,   0.01436
  -0.00489,  -0.05324,   0.01457
  -0.00473,  -0.05340,   0.01477
  -0.00456,  -0.05355,   0.01498
  -0.00440,  -0.05370,   0.01519
  -0.00424,  -0.05385,   0.01541
  -0.00407,  -0.05400,   0.01562
  -0.00391,  -0.05415,   0.01584
  -0.00375,  -0.05429,   0.01606
  -0.00359,  -0.05444,   0.01629
  -0.00343,  -0.05458,   0.01652
  -0.00327,  -0.05471,   0.01674
  -0.00311,  -0.05485,   0.01698
  -0.00295,  -0.05498,   0.01721
  -0.00279,  -0.05511,   0.01745
  -0.00263,  -0.05524,   0.01769
  -0.00247,  -0.05537,   0.01793
  -0.00231,  -0.05550,   0.01817
  -0.00215,  -0.05562,   0.01842
  -0.00200,  -0.05574,   0.01867
  -0.00184,  -0.05586,   0.01892
  -0.00168,  -0.05597,   0.01917
  -0.00153,  -0.05608,   0.01943
  -0.00137,  -0.05619,   0.01969
  -0.00122,  -0.05630,   0.01995
  -0.00107,  -0.05641,   0.02022
  -0.00091,  -0.05651,   0.02048
  -0.00076,  -0.05661,   0.02075
  -0.00061,  -0.05671,   0.02102
  -0.00046,  -0.05681,   0.02129
  -0.00031,  -0.05690,   0.02157
  -0.00016,  -0.05699,   0.02185
  -0.00001,  -0.05708,   0.02213
   0.00014,  -0.05716,   0.02241
   0.00028,  -0.05725,   0.02269
   0.00043,  -0.05733,   0.02298
   0.00057,  -0.05740,   0.02327
   0.00072,  -0.05748,   0.02356
   0.00086,  -0.05755,   0.02385
   0.00101,  -0.05762,   0.02415
   0.00115,  -0.05769,   0.02445
   0.00129,  -0.05775,   0.02475
   0.00143,  -0.05781,   0.02505
   0.00157,  -0.05787,   0.02535
   0.00171,  -0.05793,   0.02566
   0.00185,  -0.05798,   0.02597
   0.00199,  -0.05803,   0.02628
   0.00212,  -0.05807,   0.02659
   0.00226,  -0.05812,   0.02690
   0.00239,  -0.05816,   0.02722
   0.00253,  -0.05820,   0.02753
   0.00266,  -0.05823,   0.02785
   0.00279,  -0.05826,   0.02817
   0.00292,  -0.05829,   0.02850
   0.00305,  -0.05832,   0.02882
   0.00318,  -0.05834,   0.02915
   0.00331,  -0.05836,   0.02947
   0.00343,  -0.05838,   0.02980
   0.00356,  -0.05839,   0.03014
   0.00369,  -0.05840,   0.03047
   0.00381,  -0.05841,   0.03080
   0.00393,  -0.05841,   0.03114
   0.00405,  -0.05841,   0.03148
   0.00418,  -0.05841,   0.03182
   0.00430,  -0.05840,   0.03216
   0.00441,  -0.05839,   0.03250
   0.00453,  -0.05838,   0.03284
   0.00465,  -0.05836,   0.03318
   0.00476,  -0.05834,   0.03353
   0.00488,  -0.05832,   0.03388
   0.00499,  -0.05829,   0.03423
   0.00510,  -0.05826,   0.03458
   0.00522,  -0.05823,   0.03493
   0.00533,  -0.05819,   0.03528
   0.00543,  -0.05815,   0.03563
   0.00554,  -0.05811,   0.03599
   0.00565,  -0.05806,   0.03634
   0.00576,  -0.05801,   0.03670
   0.00586,  -0.05795,   0.03706
   0.00596,  -0.05790,   0.03741
   0.00607,  -0.05783,   0.03777
   0.00617,  -0.05777,   0.03813
   0.00627,  -0.05770,   0.03849
   0.00637,  -0.05762,   0.03886
   0.00646,  -0.05755,   0.03922
   0.00656,  -0.05747,   0.03958
   0.00666,  -0.05738,   0.03994
   0.00675,  -0.05729,   0.04031
