# epsilon_xx, epsilon_yy, epsilon_xy
  -0.00000,   0.00000,   0.00000
  -0.00026,   0.00022,  -0.00084
  -0.00052,   0.00044,  -0.00169
  -0.00078,   0.00066,  -0.00254
  -0.00104,   0.00087,  -0.00339
  -0.00129,   0.00108,  -0.00425
  -0.00155,   0.00129,  -0.00511
  -0.00180,   0.00150,  -0.00597
  -0.00206,   0.00171,  -0.00684
  -0.00231,   0.00191,  -0.00770
  -0.00257,   0.00211,  -0.00858
  -0.00282,   0.00231,  -0.00945
  -0.00307,   0.00251,  -0.01033
  -0.00332,   0.00270,  -0.01121
  -0.00357,   0.00289,  -0.01209
  -0.00382,   0.00308,  -0.01297
  -0.00407,   0.00327,  -0.01386
  -0.00432,   0.00345,  -0.01475
  -0.00457,   0.00364,  -0.01564
  -0.00481,   0.00382,  -0.01654
  -0.00506,   0.00399,  -0.01743
  -0.00531,   0.00416,  -0.01833
  -0.00555,   0.00434,  -0.01924
  -0.00580,   0.00450,  -0.02014
  -0.00604,   0.00467,  -0.02105
  -0.00628,   0.00483,  -0.02195
  -0.00653,   0.00499,  -0.02287
  -0.00677,   0.00515,  -0.02378
  -0.00701,   0.00530,  -0.02469
  -0.00726,   0.00545,  -0.02561
  -0.00750,   0.00560,  -0.02653
  -0.00774,   0.00575,  -0.02745
  -0.00798,   0.00589,  -0.02837
  -0.00822,   0.00603,  -0.02930
  -0.00846,   0.00616,  -0.03022
  -0.00870,   0.00629,  -0.03115
  -0.00894,   0.00642,  -0.03208
  -0.00918,   0.00655,  -0.03301
  -0.00942,   0.00667,  -0.03394
  -0.00966,   0.00679,  -0.03488
  -0.00990,   0.00691,  -0.03581
  -0.01014,   0.00702,  -0.03675
  -0.01038,   0.00713,  -0.03769
  -0.01062,   0.00724,  -0.03863
  -0.01085,   0.00734,  -0.03957
  -0.01109,   0.00745,  -0.04051
  -0.01133,   0.00754,  -0.04146
  -0.01157,   0.00764,  -0.04240
  -0.01181,   0.00772,  -0.04335
  -0.01204,   0.00781,  -0.04430
  -0.01228,   0.00789,  -0.04524
  -0.01252,   0.00797,  -0.04619
  -0.01276,   0.00805,  -0.04714
  -0.01299,   0.00812,  -0.04810
  -0.01323,   0.00819,  -0.04905
  -0.01347,   0.00825,  -0.05000
  -0.01371,   0.00832,  -0.05095
