# epsilon_xx, epsilon_yy, epsilon_xy
   0.00000,  -0.00000,   0.00000
  -0.00123,   0.00040,   0.00067
  -0.00245,   0.00080,   0.00135
  -0.00366,   0.00120,   0.00204
  -0.00486,   0.00160,   0.00273
  -0.00605,   0.00201,   0.00343
  -0.00723,   0.00241,   0.00414
  -0.00841,   0.00282,   0.00486
  -0.00957,   0.00323,   0.00558
  -0.01073,   0.00364,   0.00631
  -0.01187,   0.00405,   0.00705
  -0.01301,   0.00447,   0.00779
  -0.01414,   0.00488,   0.00854
  -0.01526,   0.00530,   0.00930
  -0.01637,   0.00572,   0.01007
  -0.01747,   0.00614,   0.01084
  -0.01856,   0.00655,   0.01162
  -0.01964,   0.00698,   0.01241
  -0.02071,   0.00740,   0.01321
  -0.02178,   0.00782,   0.01401
  -0.02283,   0.00824,   0.01482
  -0.02387,   0.00867,   0.01564
  -0.02491,   0.00909,   0.01646
  -0.02594,   0.00952,   0.01730
  -0.02695,   0.00995,   0.01813
  -0.02796,   0.01037,   0.01898
  -0.02896,   0.01080,   0.01983
  -0.02995,   0.01123,   0.02069
  -0.03093,   0.01166,   0.02156
  -0.03190,   0.01209,   0.02244
  -0.03286,   0.01252,   0.02332
  -0.03381,   0.01295,   0.02421
  -0.03475,   0.01338,   0.02510
  -0.03568,   0.01381,   0.02601
  -0.03660,   0.01424,   0.02692
  -0.03751,   0.01467,   0.02783
  -0.03842,   0.01510,   0.02876
  -0.03931,   0.01553,   0.02969
  -0.04020,   0.01596,   0.03063
  -0.04107,   0.01639,   0.03157
  -0.04194,   0.01682,   0.03253
  -0.04279,   0.01726,   0.03348
  -0.04364,   0.01769,   0.03445
  -0.04448,   0.01812,   0.03542
  -0.04530,   0.01855,   0.03640
  -0.04612,   0.01897,   0.03739
  -0.04693,   0.01940,   0.03839
  -0.04773,   0.01983,   0.03939
  -0.04852,   0.02026,   0.04039
  -0.04930,   0.02069,   0.04141
  -0.05007,   0.02111,   0.04243
  -0.05083,   0.02154,   0.04346
  -0.05158,   0.02197,   0.04450
  -0.05232,   0.02239,   0.04554
  -0.05305,   0.02281,   0.04659
  -0.05377,   0.02324,   0.04764
  -0.05449,   0.02366,   0.04870
  -0.05519,   0.02408,   0.04977
  -0.05588,   0.02450,   0.05085
  -0.05657,   0.02492,   0.05193
  -0.05724,   0.02534,   0.05302
  -0.05791,   0.02575,   0.05412
  -0.05856,   0.02617,   0.05522
  -0.05921,   0.02658,   0.05633
  -0.05985,   0.02700,   0.05745
  -0.06047,   0.02741,   0.05857
  -0.06109,   0.02782,   0.05970
  -0.06170,   0.02823,   0.06083
  -0.06230,   0.02864,   0.06197
  -0.06289,   0.02904,   0.06312
  -0.06347,   0.02945,   0.06428
  -0.06404,   0.02985,   0.06544
  -0.06460,   0.03025,   0.06661
  -0.06515,   0.03065,   0.06778
  -0.06569,   0.03105,   0.06896
  -0.06622,   0.03145,   0.07015
  -0.06674,   0.03185,   0.07135
  -0.06726,   0.03224,   0.07255
  -0.06776,   0.03263,   0.07375
  -0.06826,   0.03302,   0.07496
  -0.06874,   0.03341,   0.07618
  -0.06922,   0.03379,   0.07741
  -0.06968,   0.03418,   0.07864
  -0.07014,   0.03456,   0.07988
  -0.07059,   0.03494,   0.08112
  -0.07103,   0.03531,   0.08237
  -0.07145,   0.03569,   0.08363
  -0.07187,   0.03606,   0.08489
  -0.07228,   0.03643,   0.08616
  -0.07269,   0.03680,   0.08743
  -0.07308,   0.03717,   0.08871
  -0.07346,   0.03753,   0.09000
  -0.07383,   0.03789,   0.09129
  -0.07420,   0.03825,   0.09259
  -0.07455,   0.03861,   0.09390
  -0.07490,   0.03896,   0.09521
  -0.07524,   0.03931,   0.09652
  -0.07556,   0.03966,   0.09784
  -0.07588,   0.04001,   0.09917
  -0.07619,   0.04035,   0.10051
