# epsilon_xx, epsilon_yy, epsilon_xy
   0.00000,   0.00000,   0.00000
  -0.00044,  -0.00029,   0.00116
  -0.00088,  -0.00059,   0.00232
  -0.00132,  -0.00089,   0.00346
  -0.00175,  -0.00120,   0.00460
  -0.00219,  -0.00152,   0.00574
  -0.00262,  -0.00185,   0.00686
  -0.00305,  -0.00218,   0.00799
  -0.00349,  -0.00252,   0.00910
  -0.00392,  -0.00287,   0.01021
  -0.00434,  -0.00322,   0.01131
  -0.00477,  -0.00358,   0.01240
  -0.00520,  -0.00395,   0.01348
  -0.00563,  -0.00432,   0.01456
  -0.00605,  -0.00470,   0.01564
  -0.00647,  -0.00509,   0.01670
  -0.00690,  -0.00549,   0.01776
  -0.00732,  -0.00589,   0.01881
  -0.00774,  -0.00630,   0.01985
  -0.00816,  -0.00672,   0.02089
  -0.00858,  -0.00714,   0.02192
  -0.00900,  -0.00757,   0.02294
  -0.00941,  -0.00801,   0.02396
  -0.00983,  -0.00846,   0.02497
  -0.01025,  -0.00891,   0.02597
  -0.01066,  -0.00937,   0.02697
  -0.01107,  -0.00984,   0.02795
  -0.01149,  -0.01032,   0.02893
  -0.01190,  -0.01080,   0.02991
  -0.01231,  -0.01129,   0.03087
  -0.01272,  -0.01179,   0.03183
  -0.01313,  -0.01229,   0.03279
  -0.01354,  -0.01280,   0.03373
  -0.01395,  -0.01332,   0.03467
  -0.01436,  -0.01385,   0.03560
  -0.01476,  -0.01438,   0.03652
  -0.01517,  -0.01493,   0.03744
  -0.01557,  -0.01547,   0.03835
  -0.01598,  -0.01603,   0.03925
  -0.01638,  -0.01660,   0.04015
  -0.01679,  -0.01717,   0.04103
  -0.01719,  -0.01775,   0.04191
  -0.01759,  -0.01833,   0.04279
  -0.01800,  -0.01893,   0.04365
  -0.01840,  -0.01953,   0.04451
  -0.01880,  -0.02014,   0.04537
  -0.01920,  -0.02075,   0.04621
  -0.01960,  -0.02138,   0.04705
  -0.02000,  -0.02201,   0.04788
  -0.02040,  -0.02265,   0.04870
  -0.02080,  -0.02329,   0.04952
  -0.02120,  -0.02395,   0.05033
  -0.02160,  -0.02461,   0.05113
  -0.02199,  -0.02528,   0.05193
  -0.02239,  -0.02595,   0.05271
  -0.02279,  -0.02664,   0.05349
  -0.02319,  -0.02733,   0.05427
  -0.02358,  -0.02803,   0.05504
  -0.02398,  -0.02874,   0.05580
  -0.02438,  -0.02945,   0.05655
  -0.02478,  -0.03017,   0.05729
  -0.02517,  -0.03090,   0.05803
  -0.02557,  -0.03164,   0.05876
  -0.02596,  -0.03238,   0.05949
  -0.02636,  -0.03313,   0.06021
  -0.02676,  -0.03389,   0.06092
  -0.02715,  -0.03466,   0.06162
  -0.02755,  -0.03543,   0.06232
  -0.02794,  -0.03621,   0.06300
  -0.02834,  -0.03700,   0.06369
  -0.02874,  -0.03779,   0.06436
  -0.02913,  -0.03860,   0.06503
  -0.02953,  -0.03941,   0.06569
  -0.02993,  -0.04023,   0.06635
  -0.03032,  -0.04105,   0.06700
  -0.03072,  -0.04188,   0.06764
  -0.03112,  -0.04272,   0.06827
  -0.03151,  -0.04357,   0.06890
  -0.03191,  -0.04443,   0.06952
  -0.03231,  -0.04529,   0.07013
  -0.03270,  -0.04616,   0.07074
  -0.03310,  -0.04704,   0.07134
  -0.03350,  -0.04792,   0.07193
  -0.03390,  -0.04881,   0.07252
  -0.03430,  -0.04971,   0.07310
  -0.03470,  -0.05062,   0.07367
  -0.03510,  -0.05153,   0.07424
  -0.03550,  -0.05245,   0.07480
  -0.03590,  -0.05338,   0.07536
  -0.03630,  -0.05431,   0.07590
  -0.03670,  -0.05525,   0.07644
  -0.03710,  -0.05620,   0.07698
  -0.03750,  -0.05716,   0.07750
  -0.03791,  -0.05812,   0.07802
  -0.03831,  -0.05909,   0.07854
  -0.03871,  -0.06007,   0.07905
  -0.03912,  -0.06105,   0.07955
  -0.03952,  -0.06205,   0.08004
  -0.03993,  -0.06304,   0.08053
  -0.04034,  -0.06405,   0.08101
  -0.04074,  -0.06506,   0.08149
  -0.04115,  -0.06608,   0.08196
  -0.04156,  -0.06711,   0.08242
  -0.04197,  -0.06814,   0.08288
  -0.04238,  -0.06918,   0.08333
  -0.04279,  -0.07023,   0.08377
  -0.04320,  -0.07128,   0.08421
  -0.04361,  -0.07234,   0.08464
  -0.04403,  -0.07341,   0.08507
  -0.04444,  -0.07448,   0.08549
  -0.04486,  -0.07556,   0.08590
  -0.04527,  -0.07665,   0.08631
  -0.04569,  -0.07774,   0.08671
  -0.04611,  -0.07884,   0.08711
  -0.04653,  -0.07995,   0.08750
  -0.04695,  -0.08106,   0.08788
  -0.04737,  -0.08218,   0.08826
  -0.04779,  -0.08331,   0.08863
  -0.04821,  -0.08444,   0.08899
  -0.04863,  -0.08558,   0.08935
  -0.04906,  -0.08672,   0.08971
  -0.04948,  -0.08788,   0.09006
  -0.04991,  -0.08903,   0.09040
  -0.05034,  -0.09020,   0.09074
  -0.05077,  -0.09137,   0.09107
  -0.05120,  -0.09255,   0.09139
  -0.05163,  -0.09373,   0.09171
  -0.05206,  -0.09492,   0.09203
  -0.05250,  -0.09611,   0.09234
  -0.05293,  -0.09731,   0.09264
  -0.05337,  -0.09852,   0.09294
  -0.05381,  -0.09973,   0.09323
  -0.05425,  -0.10095,   0.09352
  -0.05469,  -0.10218,   0.09380
  -0.05513,  -0.10341,   0.09407
  -0.05557,  -0.10465,   0.09434
  -0.05602,  -0.10589,   0.09461
  -0.05646,  -0.10714,   0.09487
  -0.05691,  -0.10839,   0.09513
  -0.05736,  -0.10965,   0.09537
  -0.05781,  -0.11092,   0.09562
  -0.05826,  -0.11219,   0.09586
  -0.05871,  -0.11346,   0.09609
  -0.05917,  -0.11475,   0.09632
  -0.05962,  -0.11603,   0.09655
  -0.06008,  -0.11733,   0.09677
  -0.06054,  -0.11862,   0.09698
  -0.06100,  -0.11993,   0.09719
  -0.06146,  -0.12124,   0.09739
  -0.06193,  -0.12255,   0.09759
  -0.06239,  -0.12387,   0.09779
