# epsilon_xx, epsilon_yy, epsilon_xy
   0.00000,  -0.00000,  -0.00000
   0.00120,  -0.00119,   0.00011
   0.00241,  -0.00237,   0.00022
   0.00361,  -0.00355,   0.00032
   0.00481,  -0.00473,   0.00043
   0.00601,  -0.00590,   0.00054
   0.00721,  -0.00706,   0.00064
   0.00841,  -0.00822,   0.00074
   0.00961,  -0.00938,   0.00085
   0.01081,  -0.01053,   0.00095
   0.01200,  -0.01167,   0.00105
   0.01320,  -0.01282,   0.00115
   0.01439,  -0.01395,   0.00125
   0.01558,  -0.01509,   0.00135
   0.01678,  -0.01621,   0.00144
   0.01796,  -0.01734,   0.00154
   0.01915,  -0.01845,   0.00163
   0.02034,  -0.01957,   0.00173
   0.02153,  -0.02068,   0.00182
   0.02271,  -0.02178,   0.00191
   0.02389,  -0.02288,   0.00200
   0.02508,  -0.02398,   0.00209
   0.02626,  -0.02507,   0.00218
   0.02744,  -0.02615,   0.00226
   0.02861,  -0.02724,   0.00235
   0.02979,  -0.02831,   0.00243
   0.03096,  -0.02939,   0.00251
   0.03214,  -0.03045,   0.00259
   0.03331,  -0.03152,   0.00267
   0.03447,  -0.03258,   0.00275
   0.03564,  -0.03363,   0.00282
   0.03681,  -0.03468,   0.00290
   0.03797,  -0.03573,   0.00297
   0.03913,  -0.03677,   0.00304
   0.04029,  -0.03780,   0.00311
   0.04145,  -0.03883,   0.00318
   0.04261,  -0.03986,   0.00325
   0.04376,  -0.04088,   0.00332
   0.04492,  -0.04190,   0.00338
   0.04607,  -0.04292,   0.00344
   0.04722,  -0.04393,   0.00350
   0.04836,  -0.04493,   0.00356
   0.04951,  -0.04593,   0.00362
   0.05065,  -0.04693,   0.00367
   0.05179,  -0.04792,   0.00373
   0.05293,  -0.04891,   0.00378
   0.05406,  -0.04989,   0.00383
   0.05520,  -0.05087,   0.00388
   0.05633,  -0.05185,   0.00392
   0.05746,  -0.05282,   0.00397
   0.05858,  -0.05378,   0.00401
   0.05971,  -0.05474,   0.00405
   0.06083,  -0.05570,   0.00409
   0.06195,  -0.05666,   0.00413
   0.06307,  -0.05761,   0.00416
   0.06418,  -0.05855,   0.00420
   0.06529,  -0.05949,   0.00423
   0.06640,  -0.06043,   0.00426
   0.06751,  -0.06136,   0.00429
   0.06862,  -0.06229,   0.00431
   0.06972,  -0.06321,   0.00434
   0.07082,  -0.06413,   0.00436
