# epsilon_xx, epsilon_yy, epsilon_xy
  -0.00000,   0.00000,   0.00000
  -0.00109,  -0.00105,  -0.00103
  -0.00218,  -0.00210,  -0.00207
  -0.00327,  -0.00316,  -0.00310
  -0.00435,  -0.00421,  -0.00414
  -0.00543,  -0.00527,  -0.00518
  -0.00650,  -0.00633,  -0.00621
  -0.00757,  -0.00739,  -0.00725
  -0.00864,  -0.00846,  -0.00828
  -0.00971,  -0.00952,  -0.00932
  -0.01077,  -0.01059,  -0.01036
  -0.01183,  -0.01166,  -0.01139
  -0.01289,  -0.01273,  -0.01243
  -0.01394,  -0.01380,  -0.01347
  -0.01499,  -0.01488,  -0.01451
  -0.01604,  -0.01596,  -0.01555
  -0.01709,  -0.01703,  -0.01659
  -0.01813,  -0.01812,  -0.01763
  -0.01917,  -0.01920,  -0.01867
  -0.02021,  -0.02028,  -0.01971
  -0.02124,  -0.02137,  -0.02075
  -0.02228,  -0.02246,  -0.02179
  -0.02331,  -0.02355,  -0.02284
  -0.02433,  -0.02465,  -0.02388
  -0.02536,  -0.02574,  -0.02493
  -0.02638,  -0.02684,  -0.02597
  -0.02740,  -0.02794,  -0.02702
  -0.02842,  -0.02904,  -0.02807
  -0.02943,  -0.03014,  -0.02912
  -0.03045,  -0.03125,  -0.03017
  -0.03146,  -0.03236,  -0.03122
  -0.03246,  -0.03347,  -0.03227
  -0.03347,  -0.03458,  -0.03332
  -0.03447,  -0.03569,  -0.03437
  -0.03548,  -0.03681,  -0.03543
  -0.03648,  -0.03793,  -0.03648
  -0.03748,  -0.03905,  -0.03754
  -0.03847,  -0.04017,  -0.03860
  -0.03947,  -0.04129,  -0.03966
  -0.04046,  -0.04242,  -0.04072
  -0.04145,  -0.04355,  -0.04178
  -0.04244,  -0.04468,  -0.04284
  -0.04342,  -0.04581,  -0.04391
  -0.04441,  -0.04695,  -0.04497
  -0.04539,  -0.04808,  -0.04604
  -0.04637,  -0.04922,  -0.04711
  -0.04735,  -0.05036,  -0.04818
  -0.04833,  -0.05151,  -0.04925
  -0.04931,  -0.05265,  -0.05032
  -0.05028,  -0.05380,  -0.05140
  -0.05126,  -0.05495,  -0.05247
  -0.05223,  -0.05610,  -0.05355
  -0.05320,  -0.05725,  -0.05463
  -0.05417,  -0.05841,  -0.05571
  -0.05514,  -0.05957,  -0.05679
  -0.05610,  -0.06073,  -0.05787
  -0.05707,  -0.06189,  -0.05896
  -0.05803,  -0.06305,  -0.06005
  -0.05899,  -0.06422,  -0.06113
  -0.05996,  -0.06538,  -0.06222
  -0.06092,  -0.06655,  -0.06331
  -0.06187,  -0.06772,  -0.06441
  -0.06283,  -0.06890,  -0.06550
  -0.06379,  -0.07007,  -0.06660
  -0.06474,  -0.07125,  -0.06770
  -0.06570,  -0.07243,  -0.06880
  -0.06665,  -0.07361,  -0.06990
  -0.06760,  -0.07480,  -0.07100
  -0.06855,  -0.07598,  -0.07211
  -0.06950,  -0.07717,  -0.07321
  -0.07045,  -0.07836,  -0.07432
  -0.07140,  -0.07955,  -0.07543
  -0.07235,  -0.08074,  -0.07655
  -0.07330,  -0.08194,  -0.07766
  -0.07424,  -0.08313,  -0.07878
  -0.07518,  -0.08433,  -0.07990
  -0.07613,  -0.08553,  -0.08102
  -0.07707,  -0.08673,  -0.08214
  -0.07801,  -0.08794,  -0.08326
  -0.07895,  -0.08914,  -0.08439
  -0.07990,  -0.09035,  -0.08552
  -0.08084,  -0.09156,  -0.08665
  -0.08177,  -0.09277,  -0.08778
  -0.08271,  -0.09398,  -0.08891
  -0.08365,  -0.09520,  -0.09005
  -0.08459,  -0.09642,  -0.09119
  -0.08552,  -0.09763,  -0.09233
  -0.08646,  -0.09885,  -0.09347
  -0.08739,  -0.10007,  -0.09461
  -0.08833,  -0.10130,  -0.09576
  -0.08926,  -0.10252,  -0.09691
  -0.09020,  -0.10375,  -0.09805
  -0.09113,  -0.10497,  -0.09921
  -0.09206,  -0.10620,  -0.10036
  -0.09299,  -0.10743,  -0.10152
  -0.09392,  -0.10867,  -0.10267
  -0.09485,  -0.10990,  -0.10383
  -0.09578,  -0.11113,  -0.10500
  -0.09671,  -0.11237,  -0.10616
  -0.09764,  -0.11361,  -0.10733
  -0.09857,  -0.11485,  -0.10849
  -0.09950,  -0.11609,  -0.10966
  -0.10043,  -0.11733,  -0.11084
  -0.10135,  -0.11857,  -0.11201
  -0.10228,  -0.11982,  -0.11319
  -0.10321,  -0.12106,  -0.11436
  -0.10413,  -0.12231,  -0.11554
  -0.10506,  -0.12355,  -0.11673
  -0.10598,  -0.12480,  -0.11791
  -0.10691,  -0.12605,  -0.11910
  -0.10783,  -0.12731,  -0.12028
  -0.10876,  -0.12856,  -0.12148
  -0.10968,  -0.12981,  -0.12267
  -0.11060,  -0.13106,  -0.12386
  -0.11153,  -0.13232,  -0.12506
  -0.11245,  -0.13358,  -0.12626
  -0.11337,  -0.13483,  -0.12746
  -0.11429,  -0.13609,  -0.12866
  -0.11521,  -0.13735,  -0.12986
  -0.11613,  -0.13861,  -0.13107
  -0.11705,  -0.13987,  -0.13228
  -0.11797,  -0.14113,  -0.13348
  -0.11889,  -0.14239,  -0.13470
